Epoch: [1][1/71483], lr: 0.00020	Time 1.722 (1.722)	Data 1.516 (1.516)	Loss 5.6921 (5.6921)	Prec@1 0.000 (0.000)
Epoch: [1][11/71483], lr: 0.00020	Time 0.157 (0.294)	Data 0.000 (0.142)	Loss 5.4777 (4.2030)	Prec@1 24.320 (30.815)
Epoch: [1][21/71483], lr: 0.00020	Time 0.174 (0.230)	Data 0.000 (0.079)	Loss 5.0627 (3.9151)	Prec@1 0.080 (34.290)
Epoch: [1][31/71483], lr: 0.00020	Time 0.159 (0.206)	Data 0.000 (0.057)	Loss 3.3528 (3.6914)	Prec@1 32.560 (37.564)
Epoch: [1][41/71483], lr: 0.00020	Time 0.162 (0.194)	Data 0.000 (0.045)	Loss 3.9675 (3.5645)	Prec@1 22.800 (38.098)
Epoch: [1][51/71483], lr: 0.00020	Time 0.157 (0.187)	Data 0.000 (0.039)	Loss 5.0637 (3.4575)	Prec@1 9.040 (37.369)
Epoch: [1][61/71483], lr: 0.00020	Time 0.155 (0.182)	Data 0.000 (0.034)	Loss 2.7370 (3.3277)	Prec@1 38.400 (38.216)
Epoch: [1][71/71483], lr: 0.00020	Time 0.157 (0.178)	Data 0.000 (0.031)	Loss 1.0070 (3.1905)	Prec@1 85.840 (39.757)
Epoch: [1][81/71483], lr: 0.00020	Time 0.153 (0.176)	Data 0.000 (0.028)	Loss 2.8967 (3.1171)	Prec@1 23.040 (39.739)
Epoch: [1][91/71483], lr: 0.00020	Time 0.157 (0.174)	Data 0.000 (0.026)	Loss 1.0928 (3.0281)	Prec@1 71.040 (40.583)
Epoch: [1][101/71483], lr: 0.00020	Time 0.157 (0.172)	Data 0.000 (0.025)	Loss 1.7663 (2.9112)	Prec@1 59.600 (42.661)
Epoch: [1][111/71483], lr: 0.00020	Time 0.156 (0.171)	Data 0.000 (0.024)	Loss 1.0220 (2.8366)	Prec@1 79.440 (43.754)
